[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
14.8G 5512k  666M  167M| 98   0   2   0   0   0| 132k   12k
14.8G 5512k  666M  167M| 96   0   4   0   0   0|  20k    0 
14.8G 5512k  666M  167M|100   0   0   0   0   0|  24k    0 
14.8G 5512k  666M  167M| 94   0   6   0   0   0|  76k    0 
14.8G 5512k  666M  167M| 95   0   5   0   0   0|  32k  184k
14.8G 5520k  679M  153M| 99   0   1   0   0   0|  27M   56k
14.8G 5520k  674M  163M| 93   0   6   0   0   0|  28M 4020k
14.8G 5520k  671M  170M| 94   1   5   0   0   0|  32M 3680k
14.8G 5520k  689M  152M| 99   0   1   0   0   0|  36M    0 
14.8G 5520k  689M  158M| 93   1   6   0   0   0|  66M 6528k
14.8G 5528k  695M  158M| 93   1   6   0   0   0|  92M 5540k
14.7G 5528k  688M  173M| 98   1   0   0   0   0| 152M 9744k
14.7G 5528k  715M  153M| 93   1   6   0   0   0| 137M 5956k
14.7G 5528k  715M  167M| 93   1   6   0   0   0| 170M   14M
14.7G 5528k  723M  171M| 97   1   2   0   0   0| 142M   12M
14.7G 5536k  746M  156M| 94   1   5   0   0   0| 134M 7948k
14.7G 5536k  757M  153M| 92   1   7   0   0   0| 111M 8796k
14.7G 5548k  755M  169M| 92   1   6   0   0   0| 130M   14M
14.7G 5548k  778M  156M| 99   1   0   0   0   0| 133M   10M
14.7G 5552k  784M  164M| 93   1   6   0   0   0| 127M   14M
14.6G 5564k  784M  177M| 99   1   0   0   0   0| 139M   16M
14.6G 5564k  807M  160M| 93   1   7   0   0   0| 107M 4072k
14.6G 5564k  818M  158M| 99   1   0   0   0   0| 105M   10M
14.6G 5564k  815M  170M| 92   1   6   0   0   0|  93M   11M
14.6G 5564k  819M  177M| 99   1   0   0   0   0| 105M   11M
14.6G 5572k  839M  163M| 93   1   6   0   0   0|  91M 5492k
14.6G 5572k  853M  157M| 99   1   0   0   0   0| 104M 7992k
14.6G 5572k  855M  164M| 92   1   7   0   0   0|  77M 8632k
14.6G 5572k  864M  154M|100   0   0   0   0   0|  20M    0 
14.6G 5572k  865M  154M|100   0   0   0   0   0| 132k    0 
14.6G 5580k  865M  153M| 98   0   2   0   0   0| 140k   16k
14.6G 5580k  865M  153M| 96   0   4   0   0   0|  28k    0 
14.6G 5580k  865M  153M|100   0   0   0   0   0|  28k    0 
14.6G 5580k  865M  153M| 93   0   6   0   0   0|  84k    0 
