[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.4G  328k 71.0M  137M| 54  16  12  17   0   1| 199M 3796k
15.4G  456k 65.7M  140M| 75  14   1   9   0   1| 314M 3592k
15.4G  416k 61.9M  144M| 48  14  24  12   0   1|  78M 1556k
15.4G  392k 72.3M  133M| 84  12   3   1   0   0| 168M 4612k
15.4G  384k 72.8M  135M| 76  13   7   3   0   1| 338M 6764k
15.4G  388k 71.7M  133M| 31  21   5  43   0   1| 496M   13M
15.4G  352k 74.6M  134M|  7  15  12  66   0   0| 349M 3884k missed 3 ticks
15.4G  356k 67.2M  144M| 84  15   0   0   0   1|  40M 1536k
15.4G  368k 71.1M  135M| 70  13   6  11   0   1| 252M 7244k
15.4G  364k 71.2M  139M| 25  15  21  38   0   1| 307M 4192k
15.4G  360k 73.2M  136M| 83  16   0   0   0   1| 131M 3656k
15.4G  360k 73.6M  137M| 44  14  10  31   0   0| 219M 2304k
15.4G  352k 69.0M  143M| 11  11   7  71   0   0| 436M 6700k
15.4G  348k 72.7M  136M| 84  15   0   0   0   1| 160M 1644k missed 3 ticks
15.4G  344k 68.4M  140M| 78  14   0   6   0   2|8792k  456k
15.4G  344k 72.4M  136M|  7  16   9  68   0   0| 366M 5020k
15.4G  320k 75.3M  133M| 16  27   7  49   0   1| 223M   10M
15.4G  320k 76.2M  131M| 78  14   1   7   0   1|  86M 1000k
15.4G  388k 70.4M  142M| 63  14  12  10   0   1| 251M 5080k
15.4G  348k 67.2M  147M| 66  13  11   8   0   1| 185M 3180k
15.4G  396k 70.2M  143M| 90   9   0   1   0   0| 121M  636k
